,ms_leiden_2.5,AIFI_L3,AIFI_L1,AIFI_L2
0,0,Core memory B cell,B cell ,Memory B cell
1,1,Core memory B cell,B cell ,Memory B cell
2,2,Core memory B cell,B cell ,Memory B cell
3,3,Core memory B cell,B cell ,Memory B cell
4,4,Core memory B cell,B cell ,Memory B cell
5,5,Core memory B cell,B cell ,Memory B cell
6,6,Core memory B cell,B cell ,Memory B cell
7,7,Core memory B cell,B cell ,Memory B cell
8,8,Core memory B cell,B cell ,Memory B cell
9,9,Early memory B cell,B cell ,Memory B cell
10,10,Type 2 polarized memory B cell,B cell ,Memory B cell
11,11,Core memory B cell,B cell ,Memory B cell
12,12,CD95 memory B cell,B cell ,Memory B cell
13,13,Core memory B cell,B cell ,Memory B cell
14,14,Core memory B cell,B cell ,Memory B cell
15,15,Activated memory B cell,B cell ,Memory B cell
16,16,Core memory B cell,B cell ,Memory B cell
