,leiden_resolution_1.5_t-cd4-naive,AIFI_L3,AIFI_L1,AIFI_L1_Final,AIFI_L2,AIFI_L2_Final,AIFI_L3_Final
0,0,Core naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
1,1,Core naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
2,2,Core naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
3,3,Core naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
4,4,Core naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
5,5,Core naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
6,6,Core naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
7,7,SOX4+ naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
8,8,Core naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
9,9,Naive CD8 T cell Platelet Doublets,T cell,Yes,Naive CD8 T cell Platelet Doublets,Yes,Yes
10,10,Core naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
11,11,CD4 naive Platelet Doublets,T cell,Yes,CD4 naive Platelet Doublets,Yes,Yes
12,12,Core naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
13,13,Core naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
14,14,CD4 naive CD16 Monocytes Doublets,T cell,Yes,CD4 naive CD16 Monocytes Doublets,Yes,Yes
15,15,Core naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
