,leiden_resolution_2_t-isg-high,AIFI_L3,AIFI_L1,AIFI_L1_Final,AIFI_L2,AIFI_L2_Final,AIFI_L3_Final
0,0,ISG+ naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
1,1,ISG+ naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
2,2,ISG+ memory CD4 T cell,T cell,Yes,Memory CD4 T cell,Yes,Yes
3,3,ISG+ naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
4,4,ISG+ naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
5,5,ISG+ memory CD4 T cell,T cell,Yes,Memory CD4 T cell,Yes,Yes
6,6,ISG+ memory CD4 T cell,T cell,Yes,Memory CD4 T cell,Yes,Yes
7,7,ISG+ naive CD8 T cell,T cell,Yes,Naive CD8 T cell,Yes,Yes
8,8,ISG+ naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
9,9,ISG+ memory CD8 T cell,T cell,Yes,Memory CD8 T cell,Yes,Yes
10,10,ISG+ memory CD4 T cell,T cell,Yes,Memory CD4 T cell,Yes,Yes
11,11,ISG+ memory CD4 T cell,T cell,Yes,Memory CD4 T cell,Yes,Yes
12,12,ISG+ naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
13,13,ISG+ naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
14,14,ISG+ memory CD8 T cell,T cell,Yes,Memory CD8 T cell,Yes,Yes
15,15,ISG+ memory CD4 T cell,T cell,Yes,Memory CD4 T cell,Yes,Yes
16,16,ISG+ memory CD4 T cell,T cell,Yes,Memory CD4 T cell,Yes,Yes
17,17,ISG+ naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
18,18,ISG+ naive CD4 T cell,T cell,Yes,Naive CD4 T cell,Yes,Yes
