,leiden_resolution_3_t-mait,AIFI_L3,AIFI_L1,AIFI_L1_Final,AIFI_L2,AIFI_L2_Final,AIFI_L3_Final
0,0,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
1,2,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
2,3,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
3,4,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
4,5,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
5,6,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
6,7,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
7,8,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
8,9,HBB+ MAIT,T cell,Yes,MAIT,Yes,Yes
9,10,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
10,11,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
11,12,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
12,13,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
13,14,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
14,15,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
15,16,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
16,17,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
17,18,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
18,19,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
19,20,CD4 MAIT,T cell,Yes,MAIT,Yes,Yes
20,21,CD4 MAIT,T cell,Yes,MAIT,Yes,Yes
21,22,ISG+ MAIT,T cell,Yes,MAIT,Yes,Yes
22,23,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
23,24,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
24,25,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
25,26,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
26,27,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
27,28,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
28,29,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
29,30,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
30,31,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
31,32,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
32,33,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
33,34,CD8 MAIT,T cell,Yes,MAIT,Yes,Yes
