,leiden_resolution_1.5_t-proliferating,AIFI_L3,AIFI_L1,AIFI_L1_Final,AIFI_L2,AIFI_L2_Final,AIFI_L3_Final
0,0,Proliferating NK cell,NK cell,Yes,Proliferating NK cell,Yes,Yes
1,1,Proliferating NK cell,NK cell,Yes,Proliferating NK cell,Yes,Yes
2,2,Proliferating T cell,T cell,Yes,Proliferating T cell,Yes,Yes
3,3,Proliferating NK cell,NK cell,Yes,Proliferating NK cell,Yes,Yes
4,4,Proliferating NK cell,NK cell,Yes,Proliferating NK cell,Yes,Yes
5,5,Proliferating T cell,T cell,Yes,Proliferating T cell,Yes,Yes
6,6,Proliferating T cell,T cell,Yes,Proliferating T cell,Yes,Yes
7,7,Proliferating T cell,T cell,Yes,Proliferating T cell,Yes,Yes
8,8,Proliferating T cell,T cell,Yes,Proliferating T cell,Yes,Yes
9,9,Proliferating NK cell,NK cell,Yes,Proliferating NK cell,Yes,Yes
10,10,Proliferating T cell,T cell,Yes,Proliferating T cell,Yes,Yes
11,11,Proliferating T cell,T cell,Yes,Proliferating T cell,Yes,Yes
12,12,Proliferating T cell,T cell,Yes,Proliferating T cell,Yes,Yes
13,13,Proliferating Cells+Monocytes Doublets,Doublets,Yes,Proliferating Cells+Monocytes Doublets,Yes,Yes
14,14,Proliferating NK cell,NK cell,Yes,Proliferating NK cell,Yes,Yes
15,15,Proliferating T cell,T cell,Yes,Proliferating T cell,Yes,Yes
16,16,Proliferating T cell,T cell,Yes,Proliferating T cell,Yes,Yes
