,barcodes,ms_leiden_2.5,AIFI_L1,AIFI_L2,AIFI_L3
0,cf720af048b611ea8957bafe6d70929e,8,B cell ,Memory B cell,Core memory B cell
1,cf78473048b611ea8957bafe6d70929e,5,B cell ,Memory B cell,Core memory B cell
2,cf79279a48b611ea8957bafe6d70929e,8,B cell ,Memory B cell,Core memory B cell
3,cf80e44e48b611ea8957bafe6d70929e,8,B cell ,Memory B cell,Core memory B cell
4,cf81a58c48b611ea8957bafe6d70929e,9,B cell ,Memory B cell,Early memory B cell
5,cf82a80648b611ea8957bafe6d70929e,1,B cell ,Memory B cell,Early memory B cell
6,cf851d1648b611ea8957bafe6d70929e,8,B cell ,Memory B cell,Core memory B cell
7,cf89fc0048b611ea8957bafe6d70929e,8,B cell ,Memory B cell,Core memory B cell
8,cf9623d648b611ea8957bafe6d70929e,2,B cell ,Memory B cell,Core memory B cell
9,cf9726b448b611ea8957bafe6d70929e,8,B cell ,Memory B cell,Core memory B cell
10,cfa02bba48b611ea8957bafe6d70929e,10,B cell ,Memory B cell,Type 2 polarized memory B cell
11,cfa1c47048b611ea8957bafe6d70929e,8,B cell ,Memory B cell,Core memory B cell
12,cfa2522848b611ea8957bafe6d70929e,8,B cell ,Memory B cell,Core memory B cell
13,cfa3f0c448b611ea8957bafe6d70929e,8,B cell ,Memory B cell,Core memory B cell
14,cfa6417648b611ea8957bafe6d70929e,2,B cell ,Memory B cell,Core memory B cell
15,cfad979648b611ea8957bafe6d70929e,2,B cell ,Memory B cell,Core memory B cell
16,cfae398a48b611ea8957bafe6d70929e,0,B cell ,Memory B cell,Core memory B cell
17,cfb178de48b611ea8957bafe6d70929e,8,B cell ,Memory B cell,Core memory B cell
18,cfb2b1f448b611ea8957bafe6d70929e,5,B cell ,Memory B cell,Core memory B cell
19,cfb4575248b611ea8957bafe6d70929e,5,B cell ,Memory B cell,Core memory B cell
20,cfb46e6848b611ea8957bafe6d70929e,8,B cell ,Memory B cell,Core memory B cell
21,cfb9f79848b611ea8957bafe6d70929e,1,B cell ,Memory B cell,Core memory B cell
