,barcodes,leiden_resolution_2_myeloid-dcs,AIFI_L1,AIFI_L2,AIFI_L3
0,cf72153648b611ea8957bafe6d70929e,1,DC,pDC,pDC
1,cf7273e648b611ea8957bafe6d70929e,19,DC,cDC2,CD14+ cDC2
2,cf764a6648b611ea8957bafe6d70929e,20,Doublet,Doublet,Doublet
3,cf7ac94c48b611ea8957bafe6d70929e,8,DC,cDC2,HLA-DRhi cDC2
4,cf7f830648b611ea8957bafe6d70929e,18,Doublet,Doublet,Doublet
5,cf80efd448b611ea8957bafe6d70929e,11,DC,cDC2,HLA-DRhi cDC2
6,cf8138cc48b611ea8957bafe6d70929e,1,DC,pDC,pDC
7,cf868b9c48b611ea8957bafe6d70929e,8,DC,cDC2,HLA-DRhi cDC2
8,cf99dc1048b611ea8957bafe6d70929e,9,DC,cDC2,HLA-DRhi cDC2
9,cfa1328048b611ea8957bafe6d70929e,20,Doublet,Doublet,Doublet
10,cfa69eb448b611ea8957bafe6d70929e,4,DC,pDC,pDC
11,cfaa822248b611ea8957bafe6d70929e,18,Doublet,Doublet,Doublet
12,cfaababc48b611ea8957bafe6d70929e,9,DC,cDC2,HLA-DRhi cDC2
13,cfb9ec1248b611ea8957bafe6d70929e,18,Doublet,Doublet,Doublet
14,cfbba92648b611ea8957bafe6d70929e,11,DC,cDC2,HLA-DRhi cDC2
15,cfbe05f448b611ea8957bafe6d70929e,6,Monocyte,CD14 monocyte,Core CD14 monocyte
16,cfc1be7448b611ea8957bafe6d70929e,20,Doublet,Doublet,Doublet
17,cfc33f2448b611ea8957bafe6d70929e,23,Doublet,Doublet,Doublet
18,cfc3fbb248b611ea8957bafe6d70929e,4,DC,pDC,pDC
19,cfc458dc48b611ea8957bafe6d70929e,0,DC,pDC,pDC
20,cfc5666448b611ea8957bafe6d70929e,20,Doublet,Doublet,Doublet
21,cfc5b6e648b611ea8957bafe6d70929e,4,DC,pDC,pDC
22,cfc7054648b611ea8957bafe6d70929e,1,DC,pDC,pDC
23,70a3255448b611eaa65d9e7d578d66f2,4,DC,pDC,pDC
24,70a444ca48b611eaa65d9e7d578d66f2,1,DC,pDC,pDC
25,70a65b9848b611eaa65d9e7d578d66f2,10,DC,cDC2,CD14+ cDC2
26,70aa324a48b611eaa65d9e7d578d66f2,18,Doublet,Doublet,Doublet
27,70aac49448b611eaa65d9e7d578d66f2,3,Monocyte,CD14 monocyte,Core CD14 monocyte
28,70acfcb448b611eaa65d9e7d578d66f2,1,DC,pDC,pDC
29,70af7d7c48b611eaa65d9e7d578d66f2,22,DC,pDC,pDC
30,70af8f1048b611eaa65d9e7d578d66f2,15,DC,cDC2,CD14+ cDC2
31,70aff34248b611eaa65d9e7d578d66f2,13,DC,cDC2,ISG+ cDC2
32,70b056a248b611eaa65d9e7d578d66f2,1,DC,pDC,pDC
33,70b33b7448b611eaa65d9e7d578d66f2,8,DC,cDC2,HLA-DRhi cDC2
34,70b34ee848b611eaa65d9e7d578d66f2,4,DC,pDC,pDC
35,70b7087648b611eaa65d9e7d578d66f2,16,DC,cDC2,CD14+ cDC2
36,70ba0cc448b611eaa65d9e7d578d66f2,11,DC,cDC2,HLA-DRhi cDC2
37,70bd012c48b611eaa65d9e7d578d66f2,1,DC,pDC,pDC
38,70c01e4848b611eaa65d9e7d578d66f2,0,DC,pDC,pDC
39,70c1448a48b611eaa65d9e7d578d66f2,0,DC,pDC,pDC
40,70c757b248b611eaa65d9e7d578d66f2,8,DC,cDC2,HLA-DRhi cDC2
41,70c78a2048b611eaa65d9e7d578d66f2,26,DC,cDC1,cDC1
42,70cae78848b611eaa65d9e7d578d66f2,3,Monocyte,CD14 monocyte,Core CD14 monocyte
43,70ced6d648b611eaa65d9e7d578d66f2,17,DC,cDC1,cDC1
44,70cf683048b611eaa65d9e7d578d66f2,1,DC,pDC,pDC
45,70d0163648b611eaa65d9e7d578d66f2,10,DC,cDC2,CD14+ cDC2
46,70d03f4448b611eaa65d9e7d578d66f2,14,DC,cDC2,CD14+ cDC2
47,70d7bf6248b611eaa65d9e7d578d66f2,1,DC,pDC,pDC
48,70d8f7ce48b611eaa65d9e7d578d66f2,1,DC,pDC,pDC
49,70da1ed848b611eaa65d9e7d578d66f2,17,DC,cDC1,cDC1
50,70db871e48b611eaa65d9e7d578d66f2,1,DC,pDC,pDC
51,70de0ab648b611eaa65d9e7d578d66f2,1,DC,pDC,pDC
52,a70c8f04489811ea92388a6a0c683ffb,11,DC,cDC2,HLA-DRhi cDC2
53,a70ecc10489811ea92388a6a0c683ffb,4,DC,pDC,pDC
54,a71143b4489811ea92388a6a0c683ffb,9,DC,cDC2,CD14+ cDC2
55,a7118ad6489811ea92388a6a0c683ffb,11,DC,cDC2,HLA-DRhi cDC2
56,a7120998489811ea92388a6a0c683ffb,1,DC,pDC,pDC
57,a714a360489811ea92388a6a0c683ffb,1,DC,pDC,pDC
58,a71bd48c489811ea92388a6a0c683ffb,10,DC,cDC2,CD14+ cDC2
59,a71e6918489811ea92388a6a0c683ffb,0,DC,pDC,pDC
60,a71e860a489811ea92388a6a0c683ffb,23,Doublet,Doublet,Doublet
61,a72fe238489811ea92388a6a0c683ffb,5,Monocyte,CD14 monocyte,Core CD14 monocyte
62,a7340570489811ea92388a6a0c683ffb,4,DC,pDC,pDC
63,a7361784489811ea92388a6a0c683ffb,9,DC,cDC2,CD14+ cDC2
64,a73c270a489811ea92388a6a0c683ffb,4,DC,pDC,pDC
65,a746b6ca489811ea92388a6a0c683ffb,10,Monocyte,CD14 monocyte,Core CD14 monocyte
66,a747af80489811ea92388a6a0c683ffb,1,DC,pDC,pDC
67,a74b4f32489811ea92388a6a0c683ffb,1,DC,pDC,pDC
68,a757eb34489811ea92388a6a0c683ffb,1,DC,pDC,pDC
69,a75e9b3c489811ea92388a6a0c683ffb,1,DC,pDC,pDC
70,a7605f76489811ea92388a6a0c683ffb,11,DC,cDC2,HLA-DRhi cDC2
71,a761055c489811ea92388a6a0c683ffb,3,Monocyte,CD14 monocyte,Core CD14 monocyte
72,a7680f32489811ea92388a6a0c683ffb,1,DC,pDC,pDC
73,a76a9a22489811ea92388a6a0c683ffb,14,DC,cDC2,CD14+ cDC2
74,a770a534489811ea92388a6a0c683ffb,1,DC,pDC,pDC
75,a778d808489811ea92388a6a0c683ffb,2,DC,cDC2,CD14+ cDC2
76,a779781c489811ea92388a6a0c683ffb,9,DC,cDC2,CD14+ cDC2
77,a783e3d8489811ea92388a6a0c683ffb,6,Monocyte,CD14 monocyte,Core CD14 monocyte
78,a7845354489811ea92388a6a0c683ffb,12,Monocyte,CD14 monocyte,Core CD14 monocyte
79,a78687d2489811ea92388a6a0c683ffb,11,DC,cDC2,HLA-DRhi cDC2
80,a7876986489811ea92388a6a0c683ffb,1,DC,pDC,pDC
81,c67ac0fc48bd11eab2ee7a6edf799b61,0,DC,pDC,pDC
82,c67b922048bd11eab2ee7a6edf799b61,14,DC,cDC2,CD14+ cDC2
83,c67da54248bd11eab2ee7a6edf799b61,14,DC,cDC2,CD14+ cDC2
84,c67ef18648bd11eab2ee7a6edf799b61,0,DC,pDC,pDC
85,c67f8e0248bd11eab2ee7a6edf799b61,17,DC,cDC1,cDC1
86,c680169c48bd11eab2ee7a6edf799b61,23,Doublet,Doublet,Doublet
87,c68125fa48bd11eab2ee7a6edf799b61,11,DC,cDC2,HLA-DRhi cDC2
88,c681e6ac48bd11eab2ee7a6edf799b61,4,DC,pDC,pDC
89,c6840d7448bd11eab2ee7a6edf799b61,11,DC,cDC2,HLA-DRhi cDC2
90,c68b908a48bd11eab2ee7a6edf799b61,17,DC,cDC1,cDC1
91,c68bb59248bd11eab2ee7a6edf799b61,4,DC,pDC,pDC
92,c68bcf1448bd11eab2ee7a6edf799b61,11,DC,cDC2,HLA-DRhi cDC2
93,c68e475848bd11eab2ee7a6edf799b61,1,DC,pDC,pDC
94,c68f49c848bd11eab2ee7a6edf799b61,4,DC,pDC,pDC
95,c68f760048bd11eab2ee7a6edf799b61,6,Monocyte,CD14 monocyte,Core CD14 monocyte
96,c691dd7848bd11eab2ee7a6edf799b61,11,DC,cDC2,HLA-DRhi cDC2
97,c692e7c248bd11eab2ee7a6edf799b61,14,DC,cDC2,CD14+ cDC2
98,c69751ae48bd11eab2ee7a6edf799b61,6,Monocyte,CD14 monocyte,Core CD14 monocyte
99,c698250248bd11eab2ee7a6edf799b61,1,DC,pDC,pDC
100,c69aafd448bd11eab2ee7a6edf799b61,5,Monocyte,CD14 monocyte,Core CD14 monocyte
101,c69adbb248bd11eab2ee7a6edf799b61,11,DC,cDC2,HLA-DRhi cDC2
102,c6a04e1c48bd11eab2ee7a6edf799b61,11,DC,cDC2,HLA-DRhi cDC2
103,c6a25b1c48bd11eab2ee7a6edf799b61,1,DC,pDC,pDC
104,c6a3d40648bd11eab2ee7a6edf799b61,8,DC,cDC2,HLA-DRhi cDC2
105,c6a52c7048bd11eab2ee7a6edf799b61,7,Monocyte,CD14 monocyte,Core CD14 monocyte
106,c6a5c18a48bd11eab2ee7a6edf799b61,1,DC,pDC,pDC
107,c6a5d56248bd11eab2ee7a6edf799b61,7,Monocyte,CD14 monocyte,Core CD14 monocyte
108,c6a63f2048bd11eab2ee7a6edf799b61,13,DC,cDC2,ISG+ cDC2
109,c6a922d048bd11eab2ee7a6edf799b61,16,DC,cDC2,HLA-DRhi cDC2
110,c6aba74448bd11eab2ee7a6edf799b61,17,DC,cDC1,cDC1
111,c6ac0de248bd11eab2ee7a6edf799b61,1,DC,pDC,pDC
112,c6ada86e48bd11eab2ee7a6edf799b61,20,Doublet,Doublet,Doublet
113,c6ae136248bd11eab2ee7a6edf799b61,7,Monocyte,CD14 monocyte,Core CD14 monocyte
114,c6afa0ce48bd11eab2ee7a6edf799b61,6,DC,cDC2,CD14+ cDC2
115,c6b1d58848bd11eab2ee7a6edf799b61,19,DC,cDC2,CD14+ cDC2
116,c6b3458048bd11eab2ee7a6edf799b61,11,DC,cDC2,HLA-DRhi cDC2
117,c6b560f448bd11eab2ee7a6edf799b61,7,Monocyte,CD14 monocyte,Core CD14 monocyte
118,c6b940c048bd11eab2ee7a6edf799b61,0,DC,pDC,pDC
119,c6bac42248bd11eab2ee7a6edf799b61,2,DC,cDC2,HLA-DRhi cDC2
