,leiden_resolution_3,AIFI_L3,AIFI_L1,AIFI_L2
0,0,Core CD16 monocyte,Monocyte,CD16 monocyte
1,1,Core CD14 monocyte,Monocyte,CD14 monocyte
2,2,Core CD14 monocyte,Monocyte,CD14 monocyte
3,3,Core CD14 monocyte,Monocyte,CD14 monocyte
4,4,Core CD14 monocyte,Monocyte,CD14 monocyte
5,5,Core CD14 monocyte,Monocyte,CD14 monocyte
6,6,Core CD14 monocyte,Monocyte,CD14 monocyte
7,7,Core CD16 monocyte,Monocyte,CD16 monocyte
8,8,ISG+ CD14 monocyte,Monocyte,CD14 monocyte
9,9,Core CD14 monocyte,Monocyte,CD14 monocyte
10,10,Core CD14 monocyte,Monocyte,CD14 monocyte
11,11,Intermediate monocyte,Monocyte,Intermediate monocyte
12,12,Core CD14 monocyte,Monocyte,CD14 monocyte
13,13,Core CD14 monocyte,Monocyte,CD14 monocyte
14,14,Core CD14 monocyte,Monocyte,CD14 monocyte
15,15,ISG+ CD14 monocyte,Monocyte,CD14 monocyte
16,16,Core CD14 monocyte,Monocyte,CD14 monocyte
17,17,ISG+ CD14 monocyte,Monocyte,CD14 monocyte
18,18,Doublet,Doublet,Doublet
19,19,Core CD14 monocyte,Monocyte,CD14 monocyte
20,20,IL1B+ CD14 monocyte,Monocyte,CD14 monocyte
21,21,Core CD14 monocyte,Monocyte,CD14 monocyte
22,22,Core CD14 monocyte,Monocyte,CD14 monocyte
23,23,Doublet,Doublet,Doublet
24,24,Core CD14 monocyte,Monocyte,CD14 monocyte
25,25,pDC,DC,pDC
26,26,Doublet,Doublet,Doublet
27,27,Core CD14 monocyte,Monocyte,CD14 monocyte
28,28,Core CD14 monocyte,Monocyte,CD14 monocyte
29,29,ISG+ CD14 monocyte,Monocyte,CD14 monocyte
30,30,Doublet,Doublet,Doublet
31,31,Core CD14 monocyte,Monocyte,CD14 monocyte
32,32,ISG+ CD16 monocyte,Monocyte,CD16 monocyte
33,33,Doublet,Doublet,Doublet
34,34,C1Q+ CD16 monocyte,Monocyte,CD16 monocyte
35,35,Core CD14 monocyte,Monocyte,CD14 monocyte
36,36,Doublet,Doublet,Doublet
37,37,Doublet,Doublet,Doublet
38,38,Doublet,Doublet,Doublet
39,39,Doublet,Doublet,Doublet
40,41,Doublet,Doublet,Doublet
41,42,Doublet,Doublet,Doublet
42,43,Doublet,Doublet,Doublet
43,44,Doublet,Doublet,Doublet
