leiden_resolution_1.5,AIFI_L1,AIFI_L1_Final,AIFI_L2,AIFI_L2_Final,AIFI_L3,AIFI_L3_Final
0,NK cells,Yes,NK CD56dim,Yes,NK CD56dim,Yes
1,NK cells,Yes,NK CD56dim,Yes,NK CD56dim,Yes
2,NK cells,Yes,NK CD56dim,Yes,NK CD56dim,Yes
3,NK cells,Yes,NK CD56dim,Yes,NK CD56dim,Yes
4,NK cells,Yes,"NK CD56bright ",Yes,"NK CD56bright ",Yes
5,NK cells,Yes,NK CD56dim,Yes,NK CD56dim,Yes
6,NK cells,Yes,NK CD56dim,Yes,NK intermediate,Yes
7,NK cells,Yes,NK CD56dim,Yes,NK CD56dim,Yes
8,NK cells,Yes,NK CD56dim,Yes,NK adaptive-like,Yes
9,NK cells,Yes,NK CD56dim,Yes,NK CD56dim,Yes
10,NK cells,Yes,NK CD56dim,Yes,NK CD56dim,Yes
11,NK cells,Yes,NK+Erythocytes Doublet,Yes,NK+Erythocytes Doublet,Yes
12,NK cells,Yes,NK+T Doublets,Yes,NK+T Doublets,Yes
13,NK cells,Yes,NK CD56dim,Yes,NK CD56dim,Yes
14,NK cells,Yes,NK CD56dim,Yes,NK CD56dimISG+,Yes
15,NK cells,Yes,NK+Platelet Doublet,Yes,NK+Platelet Doublet,Yes
16,NK cells,Yes,NK CD56dim,Yes,NK CD56dimMito+,Yes
17,NK cells,Yes,NK Proliferating,Yes,NK Proliferating,Yes
18,ILC,Yes,ILC,Yes,ILC,Yes
