leiden_resolution_1.5,AIFI_L1,AIFI_L1_Final,AIFI_L2,AIFI_L2_Final,AIFI_L3,AIFI_L3_Final
0,T cells,Yes,CD4 naive,Yes,CD4 naive,Yes
1,T cells,Yes,CD4 naive,Yes,CD4 naive,Yes
2,T cells,Yes,CD4 memory,Yes,CD4 CM,Yes
3,T cells,Yes,CD4 naive,Yes,CD4 naive,Yes
4,T cells,Yes,CD4 memory,Yes,CD4 CM,Yes
5,T cells,Yes,CD8 memory + CD4 memory MIXED,No,"CD4 CTL, plus mixed CD8 memory",No
6,T cells,Yes,CD8 naive,Yes,CD8 naive,Yes
7,T cells,Yes,CD8 naive,Yes,CD8 naive,Yes
8,T cells,Yes,CD4 memory,Yes,CD4 CD27+ EM,Yes
9,T cells,Yes,CD4 memory,Yes,CD4 CD27- EM,Yes
10,T cells,Yes,CD8 memory,Yes,CD8 GZMK+ CD27+ EM,Yes
11,T cells,Yes,MAIT,No,MAIT,No
12,T cells,Yes,CD8 memory + gdT,No,CD8 memory + gdT,No
13,T cells,Yes,CD8aa+gdT+CD8 memory,No,CD8aa+gdT+CD8 memory,No
14,T cells,Yes,Treg,No,Treg,No
15,T cells,Yes,gdT cell,No,gdT cell,No
16,T cells,Yes,CD4 naive,Yes,CD4 naive,Yes
17,T cells,Yes,CD4 naive,Yes,CD4 naive,Yes
18,T cells,Yes,CD4 naive,Yes,CD4 naive,Yes
19,T cells,Yes,ISG+ CD4 T cells,No,ISG+ CD4 T cells,No
20,Contamination,Yes,Contamination,Yes,Contamination,Yes
21,T cells,Yes,proliferating cells,No,proliferating cells,No
22,T cells,Yes,DN,Yes,DN,Yes
