leiden_resolution_1.5_C15_with_gdT_from_C5_C12_C11_C13,AIFI_L1,AIFI_L1_Final,AIFI_L2,AIFI_L2_Final,AIFI_L3,AIFI_L3_Final
0,T cells,Yes,gdT,Yes,gdT Vd2 GZMK+,Yes
1,T cells,Yes,gdT,Yes,gdT Vd2 GZMB+,Yes
2,T cells,Yes,gdT,Yes,gdT KLRF1+ Vd1 effector,Yes
3,T cells,Yes,gdT,Yes,gdT Vd2 GZMB+,Yes
4,T cells,Yes,gdT,Yes,gdT Vd2 GZMK+,Yes
5,T cells,Yes,gdT,Yes,gdT Vd2 GZMK+,Yes
6,T cells,Yes,gdT,Yes,gdT Vd1 naive,Yes
7,T cells,Yes,gdT,Yes,gdT KLRF1- Vd1 effector,Yes
8,T cells,Yes,gdT,Yes,gdT Vd2 GZMB+,Yes
9,T cells,Yes,gdT,Yes,gdT Vd2 GZMK+,Yes
10,T cells,Yes,gdT,Yes,gdT Vd2 GZMB+,Yes
11,T cells,Yes,gdT,Yes,gdT Vd2 GZMB+,Yes
12,T cells,Yes,gdT,Yes,gdT Vd1 SOX4+,Yes
13,T cells,Yes,gdT,Yes,gdT Vd2 GZMK+,Yes
14,T cells,Yes,gdT,Yes,gdT Vd2 GZMK+,Yes
15,T cells,Yes,gdT,Yes,gdT Vd2 GZMB+,Yes
