leiden_resolution_2_C19,AIFI_L1,AIFI_L1_Final,AIFI_L2,AIFI_L2_Final,AIFI_L3,AIFI_L3_Final
0,T cells,Yes,"ISG+ T cells ",Yes,CD4 ISG+ naive,Yes
1,T cells,Yes,"ISG+ T cells ",Yes,CD4 ISG+ naive,Yes
2,T cells,Yes,"ISG+ T cells ",Yes,CD4 ISG+ naive,Yes
3,T cells,Yes,"ISG+ T cells ",Yes,CD4 ISG+ memory,Yes
4,T cells,Yes,"ISG+ T cells ",Yes,CD4 ISG+ memory,Yes
5,T cells,Yes,"ISG+ T cells ",Yes,CD4 ISG+ naive,Yes
6,T cells,Yes,"ISG+ T cells ",Yes,CD8 ISG+ naive,Yes
7,T cells,Yes,"ISG+ T cells ",Yes,CD4 ISG+ naive,Yes
8,T cells,Yes,"ISG+ T cells ",Yes,CD4 ISG+ naive,Yes
9,T cells,Yes,"ISG+ T cells ",Yes,CD4 ISG+ memory,Yes
10,T cells,Yes,"ISG+ T cells ",Yes,CD4 ISG+ naive,Yes
11,T cells,Yes,"ISG+ T cells ",Yes,CD4 ISG+ memory,Yes
12,T cells,Yes,"ISG+ T cells ",Yes,CD4 ISG+ memory,Yes
13,T cells,Yes,"ISG+ T cells ",Yes,CD4 ISG+ memory,Yes
14,T cells,Yes,"ISG+ T cells ",Yes,CD4 ISG+ naive,Yes
15,T cells,Yes,"ISG+ T cells ",Yes,CD8 ISG+ memory,Yes
16,T cells,Yes,"ISG+ T cells ",Yes,CD8 ISG+ memory,Yes
17,T cells,Yes,"ISG+ T cells ",Yes,CD4 ISG+ naive,Yes
